Name, Chisq, Observed MIPS70, Observed MIPS70 Error, Modeled MIPS70, Interpolated MIPS70
HD106389, 2.111800, 0.022892, 0.007767, 0.000211, 0.000209
HD106797, 12.848000, 0.010812, 0.004667, 0.038644, 0.037726
HD106906, 3.395900, 0.279318, 0.016685, 0.327295, 0.336682
HD107301, 4.780300, 0.055605, 0.011181, 0.121652, 0.122524
HD107947, 2.703300, 0.030755, 0.004410, 0.023451, 0.023955
HD108857, 4.288200, 0.029572, 0.010267, 0.027344, 0.027752
HD108904, 0.235100, 0.111325, 0.037667, 0.006689, 0.006722
HD109573, 39.658001, 5.156208, 1.100000, 4.257782, 4.404816
HD109704, 3.673200, 0.017208, 0.007097, 0.017099, 0.019213
HD109832, 2.294100, 0.067918, 0.006075, 0.010066, 0.009209
HD110058, 7.780100, 0.014154, 0.004975, 0.112320, 0.111692
HD110411, 6.838900, 0.229207, 0.004960, 0.137650, 0.153913
HD111520, 1.818400, 0.213314, 0.013360, 0.043671, 0.044529
HD112383, 5.841900, 0.006153, 0.002633, 0.020154, 0.020326
HD113457, 1.075000, 0.036740, 0.012833, 0.018809, 0.018768
HD113556, 2.753100, 0.158951, 0.021541, 0.026819, 0.027984
HD114082, 3.164600, 0.348901, 0.034731, 0.360143, 0.365913
HD115361, 1.859400, 0.175588, 0.058833, 0.038484, 0.039076
HD117214, 5.036000, 0.328580, 0.025928, 0.082885, 0.079149
HD117484, 1.898700, 0.072840, 0.005509, 0.047556, 0.049093
HD117524, 1.552400, 0.029084, 0.009900, 0.000148, 0.000146
HD117665, 3.404600, 0.014909, 0.004276, 0.003929, 0.003568
HD118379, 2.829000, 0.038716, 0.014933, 0.022822, 0.023741
HD118588, 2.208900, 0.036351, 0.012433, 0.012605, 0.011939
HD120326, 2.146000, 0.161183, 0.011385, 0.018101, 0.016585
HD122705, 4.114200, 0.009265, 0.003400, 0.000273, 0.000259
HD124619, 2.146800, 0.038806, 0.013133, 0.004359, 0.004444
HD125541, 1.923400, 0.013846, 0.004767, 0.011582, 0.011705
HD126062, 3.395000, 0.157355, 0.009205, 0.024059, 0.024944
HD126135, 1.512000, 0.033401, 0.011510, 0.016515, 0.016673
HD127750, 7.568300, 0.069325, 0.006025, 0.016057, 0.016521
HD129590, 13.256600, 0.393347, 0.020325, 0.334839, 0.346655
HD132238, 0.687600, 0.011237, 0.004270, 0.012105, 0.012243
HD133803, 3.612400, 0.024859, 0.008600, 0.005932, 0.005101
HD134888, 3.273100, 0.119282, 0.011662, 0.128232, 0.134090
HD135379, 7.166000, 0.217717, 0.080144, 0.056166, 0.056020
HD136347, 3.229700, 0.006598, 0.002780, 0.000039, 0.000053
HD136482, 1.689200, 0.019448, 0.006970, 0.034624, 0.035552
HD137057, 2.860500, 0.027111, 0.009333, 0.005927, 0.006097
HD137119, 2.872900, 0.011184, 0.004033, 0.002474, 0.002560
AlphaCrb, 50.697300, 0.403352, 0.009820, 0.463260, 0.468507
HD138813, 4.409600, 0.375710, 0.019678, 0.331100, 0.336870
HD140840, 2.161400, 0.078124, 0.007351, 0.023440, 0.023997
HD141254, 2.397100, 0.029091, 0.009867, 0.000404, 0.000488
HD141327, 2.017500, 0.013845, 0.004900, 0.004419, 0.004326
HD142139, 1.348200, 0.025298, 0.009964, 0.019435, 0.020552
HD143675, 4.711400, 0.036970, 0.005814, 0.037720, 0.038988
HD144587, 1.447900, 0.013355, 0.004823, 0.013150, 0.013340
HD144981, 1.010400, 0.013650, 0.004845, 0.004658, 0.004711
HD145554, 2.304600, 0.017386, 0.006206, 0.017803, 0.018182
HD145631, 0.886000, 0.017729, 0.006379, 0.007279, 0.007285
HD145972, 1.581200, 0.175134, 0.058633, 0.005449, 0.005476
HD145689, 4.581600, 0.034954, 0.002751, 0.011388, 0.011562
HD146606, 1.882800, 0.019979, 0.007063, 0.013233, 0.012516
HD146897, 6.348200, 0.529372, 0.028324, 0.373247, 0.383181
HD147010, 0.908900, 0.299138, 0.100300, 0.118419, 0.122657
HD147137, 1.973400, 0.022735, 0.007809, 0.003887, 0.003658
HD147594, 2.265200, 0.033278, 0.011333, 0.001829, 0.001837
HD151109, 2.812600, 0.066857, 0.022667, 0.044082, 0.046434
HD157728, 17.266800, 0.734022, 0.052600, 1.000963, 1.019941
HD159492, 15.807600, 0.161273, 0.010590, 0.097104, 0.097308
GamOph, 20.082899, 1.056970, 0.242622, 1.331461, 1.358847
HD164029, 3.974200, 0.165786, 0.010590, 0.006505, 0.006918
HD169666, 3.033900, 0.017250, 0.004000, 0.013113, 0.012925
HD169022, 11.716800, 0.887740, 0.344700, 0.012749, 0.014778
HD172555, 13.872700, 0.210863, 0.005950, 0.208872, 0.208732
EtaTel, 8.694000, 0.400391, 0.058142, 0.168719, 0.171462
HD181327, 9.948800, 1.464593, 0.146800, 0.138744, 0.130191
HD182919, 3.040700, 0.059044, 0.021171, 0.021495, 0.022836
HD184930, 3.294000, 0.006396, 0.004000, 0.000922, 0.000935
HD191174, 0.407800, 0.031226, 0.011320, 0.003576, 0.003550
HD191089, 3.501500, 0.541331, 0.012500, 0.071608, 0.067156
HD221853, 3.954000, 0.334220, 0.024700, 0.213085, 0.218173
NGC2422PMS112, 22.163900, 0.999028, -0.999000, 0.000022, 0.000021
